user_id,label,emoji_mean,emoji_max,emoji_std,emoji_sum,length_mean,length_max,length_std,length_sum,repetition_mean,repetition_max,repetition_std,repetition_sum,punctuation_mean,punctuation_max,punctuation_std,punctuation_sum,caps_mean,caps_max,caps_std,caps_sum,n_comments,total_chars,particles_count,pronouns_count,verbs_count,total_markers,particles_per_comment,pronouns_per_comment,verbs_per_comment,markers_per_comment,markers_per_1k_chars,has_any_marker
7303057,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,174,1,0,0,1,1.0,0.0,0.0,1.0,5.747126436781609,1
7304503,0,0.0,0.0,0.0,0.0,0.0114503816793893,0.4,0.0649617872103611,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,19859,53,7,11,71,0.40458015267175573,0.05343511450381679,0.08396946564885496,0.5419847328244275,3.575205196636286,1
7327080,0,0.0,0.0,0.0,0.0,0.0516129032258064,0.4,0.1340942560698485,1.6,0.0193548387096774,0.3,0.0737010300567475,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,8691,44,38,2,84,1.4193548387096775,1.2258064516129032,0.06451612903225806,2.7096774193548385,9.665170866413533,1
7350553,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1063,26,6,2,34,5.2,1.2,0.4,6.8,31.984948259642522,1
7450328,1,0.0,0.0,0.0,0.0,0.0512820512820512,0.4,0.1337272288246697,2.0,0.0153846153846153,0.3,0.0661717328234048,0.6,0.1461538461538461,0.6,0.2240033812086313,5.699999999999999,0.0,0.0,0.0,0.0,39,4224,5,4,0,9,0.1282051282051282,0.10256410256410256,0.0,0.23076923076923078,2.130681818181818,1
7452177,1,0.0,0.0,0.0,0.0,0.05,0.4,0.1322875655532295,1.2000000000000002,0.0249999999999999,0.3,0.0829156197588849,0.6,0.075,0.6,0.1785357107135712,1.7999999999999998,0.0,0.0,0.0,0.0,24,2684,6,0,0,6,0.25,0.0,0.0,0.25,2.235469448584203,1
7460975,1,0.0,0.0,0.0,0.0,0.0307692307692307,0.4,0.1065877420042386,0.4,0.0,0.0,0.0,0.0,0.2307692307692307,0.6,0.2398224195095368,3.0,0.0,0.0,0.0,0.0,13,2045,2,0,0,2,0.15384615384615385,0.0,0.0,0.15384615384615385,0.9779951100244498,1
7464651,1,0.0111111111111111,0.2,0.0458122847290851,0.2,0.0222222222222222,0.4,0.0916245694581702,0.4,0.0166666666666666,0.3,0.0687184270936276,0.3,0.0833333333333333,0.6,0.195078331845327,1.5,0.0,0.0,0.0,0.0,18,2540,3,1,0,4,0.16666666666666666,0.05555555555555555,0.0,0.2222222222222222,1.574803149606299,1
7488871,0,0.02,0.4,0.0748331477354788,0.8,0.02,0.4,0.0871779788708134,0.8,0.0,0.0,0.0,0.0,0.0375,0.3,0.0992156741649221,1.5,0.0,0.0,0.0,0.0,40,5118,20,6,0,26,0.5,0.15,0.0,0.65,5.080109417741305,1
7491958,0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1053,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
7533667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272727272727272,0.3,0.0862439361864103,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1484,9,6,0,15,0.8181818181818182,0.5454545454545454,0.0,1.3636363636363635,10.107816711590296,1
7540686,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0214285714285714,0.3,0.0772618130456569,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1881,8,4,0,12,0.5714285714285714,0.2857142857142857,0.0,0.8571428571428571,6.379585326953748,1
7546849,0,0.0,0.0,0.0,0.0,0.1828,0.4,0.1469154859094166,45.7,0.036,0.3,0.0974884608556315,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,197917,241,81,17,339,0.964,0.324,0.068,1.356,1.712839220481313,1
7553151,0,0.0,0.0,0.0,0.0,0.0034632034632034,0.4,0.0370578953403163,0.8,0.0025974025974025,0.3,0.0277934215052372,0.6,0.0077922077922077,0.3,0.0477173326516203,1.7999999999999998,0.0,0.0,0.0,0.0,231,35959,131,50,8,189,0.5670995670995671,0.21645021645021645,0.03463203463203463,0.8181818181818182,5.255985984037376,1
7558875,0,0.0,0.0,0.0,0.0,0.045,0.3,0.1071214264281427,2.7,0.02,0.3,0.0748331477354788,1.2,0.005,0.3,0.038405728739343,0.3,0.0,0.0,0.0,0.0,60,39479,60,7,0,67,1.0,0.11666666666666667,0.0,1.1166666666666667,1.697104789888295,1
7560349,0,0.0,0.0,0.0,0.0,0.024,0.3,0.0813879597975032,0.6,0.036,0.3,0.0974884608556315,0.8999999999999999,0.012,0.3,0.0587877538267962,0.3,0.0,0.0,0.0,0.0,25,9317,39,27,2,68,1.56,1.08,0.08,2.72,7.298486637329613,1
7581887,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,329,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
7607632,0,0.0,0.0,0.0,0.0,0.0542857142857142,0.4,0.1369939667969926,7.6,0.0021428571428571,0.3,0.0252639131197534,0.3,0.0128571428571428,0.6,0.0705517612849471,1.7999999999999998,0.0,0.0,0.0,0.0,140,18410,51,13,2,66,0.36428571428571427,0.09285714285714286,0.014285714285714285,0.4714285714285714,3.58500814774579,1
7620528,1,0.0,0.0,0.0,0.0,0.0243243243243243,0.3,0.0818878778786114,0.8999999999999999,0.0243243243243243,0.3,0.0818878778786114,0.8999999999999999,0.0081081081081081,0.3,0.0486486486486486,0.3,0.0,0.0,0.0,0.0,37,11625,19,8,4,31,0.5135135135135135,0.21621621621621623,0.10810810810810811,0.8378378378378378,2.6666666666666665,1
7624472,0,0.0006802721088435,0.2,0.0116443828357984,0.2,0.0163265306122449,0.4,0.0791457935904706,4.800000000000001,0.0081632653061224,0.3,0.0488092275228628,2.4,0.0071428571428571,0.6,0.0575875553449896,2.1,0.0,0.0,0.0,0.0,294,44924,347,13,1,361,1.1802721088435375,0.04421768707482993,0.003401360544217687,1.227891156462585,8.035793785059212,1
7626021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.3,0.1247219128924647,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,5886,3,2,1,6,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.16666666666666666,1.0193679918450562,1
7627333,0,0.0,0.0,0.0,0.0,0.0174999999999999,0.4,0.0770957197255463,0.7,0.015,0.3,0.0653834841531101,0.6,0.0075,0.3,0.0468374849879879,0.3,0.0,0.0,0.0,0.0,40,9971,44,2,1,47,1.1,0.05,0.025,1.175,4.713669641961689,1
7635007,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.3,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,119,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
7636498,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,249,3,0,0,3,1.0,0.0,0.0,1.0,12.048192771084338,1
7637812,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,418,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
7637827,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,293,3,0,0,3,1.0,0.0,0.0,1.0,10.238907849829351,1
7639406,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,966,3,0,0,3,0.2727272727272727,0.0,0.0,0.2727272727272727,3.105590062111801,1
7639557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.3,0.1118033988749894,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,847,6,0,0,6,1.0,0.0,0.0,1.0,7.083825265643448,1
7642115,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,122,4,0,0,4,2.0,0.0,0.0,2.0,32.786885245901644,1
7642226,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2598,3,1,5,9,0.1875,0.0625,0.3125,0.5625,3.464203233256351,1
7642588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,945,16,0,2,18,4.0,0.0,0.5,4.5,19.04761904761905,1
7643288,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,434,10,0,0,10,1.4285714285714286,0.0,0.0,1.4285714285714286,23.041474654377883,1
7644713,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,311,4,0,0,4,0.6666666666666666,0.0,0.0,0.6666666666666666,12.861736334405144,1
7646337,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1185,8,0,0,8,0.6666666666666666,0.0,0.0,0.6666666666666666,6.751054852320675,1
7647671,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,626,2,0,0,2,0.25,0.0,0.0,0.25,3.1948881789137378,1
7647679,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.3,0.1118033988749894,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,256,5,0,0,5,0.8333333333333334,0.0,0.0,0.8333333333333334,19.53125,1
7649169,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428571428571428,0.3,0.1049781318335647,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,526,1,0,0,1,0.14285714285714285,0.0,0.0,0.14285714285714285,1.9011406844106464,1
7649173,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,276,3,0,0,3,0.6,0.0,0.0,0.6,10.869565217391305,1
7650619,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,608,2,0,0,2,0.3333333333333333,0.0,0.0,0.3333333333333333,3.289473684210526,1
7650628,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,436,6,0,0,6,0.8571428571428571,0.0,0.0,0.8571428571428571,13.761467889908257,1
7651618,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,243,1,1,0,2,0.5,0.5,0.0,1.0,8.23045267489712,1
7652000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,624,2,0,0,2,0.3333333333333333,0.0,0.0,0.3333333333333333,3.205128205128205,1
7652011,1,0.0,0.0,0.0,0.0,0.0444444444444444,0.4,0.1257078722109418,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,586,10,0,0,10,1.1111111111111112,0.0,0.0,1.1111111111111112,17.064846416382252,1
7653148,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1258,4,0,0,4,0.2857142857142857,0.0,0.0,0.2857142857142857,3.179650238473768,1
7653151,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,362,6,0,0,6,1.2,0.0,0.0,1.2,16.574585635359114,1
7654659,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,340,2,0,0,2,0.5,0.0,0.0,0.5,5.88235294117647,1
7656148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1467,36,2,2,40,6.0,0.3333333333333333,0.3333333333333333,6.666666666666667,27.266530334015,1
7657704,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,411,6,0,0,6,1.0,0.0,0.0,1.0,14.598540145985401,1
7659132,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,365,4,0,0,4,0.5714285714285714,0.0,0.0,0.5714285714285714,10.95890410958904,1
7660588,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,328,3,0,0,3,0.5,0.0,0.0,0.5,9.146341463414634,1
7663374,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,493,5,0,0,5,0.625,0.0,0.0,0.625,10.141987829614605,1
7664645,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,330,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
7664756,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,422,6,0,0,6,1.2,0.0,0.0,1.2,14.218009478672984,1
7667897,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,294,3,1,0,4,0.6,0.2,0.0,0.8,13.605442176870747,1
7669432,1,0.0,0.0,0.0,0.0,0.04,0.4,0.12,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,519,8,1,0,9,0.8,0.1,0.0,0.9,17.341040462427745,1
7670865,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,256,3,0,0,3,0.6,0.0,0.0,0.6,11.71875,1
7672236,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,189,1,0,0,1,0.3333333333333333,0.0,0.0,0.3333333333333333,5.291005291005291,1
7681572,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,137,2,0,0,2,1.0,0.0,0.0,1.0,14.598540145985401,1
830917,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1222,11,0,1,12,1.5714285714285714,0.0,0.14285714285714285,1.7142857142857142,9.819967266775777,1
1042938,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085714285714285,0.3,0.0499795876701025,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,7799,100,1,0,101,2.857142857142857,0.02857142857142857,0.0,2.8857142857142857,12.950378253622258,1
1229389,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,333,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1254515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1182,8,0,0,8,1.3333333333333333,0.0,0.0,1.3333333333333333,6.768189509306261,1
