experiment,config,n_features,classifier,recall,precision,f1
1,drop_coord_all,40,DT,0.8865979381443299,0.5512820512820513,0.6798418972332015
1,full,62,NB,0.7010309278350515,0.6071428571428571,0.6507177033492823
1,full,62,RF,0.13402061855670103,0.5416666666666666,0.21487603305785125
1,full,62,SVM,0.16494845360824742,0.47058823529411764,0.24427480916030533
1,full,62,DNN,0.5670103092783505,0.625,0.5945945945945946
1,full,62,DT,0.1134020618556701,0.3548387096774194,0.171875
2,drop_coord-dim,58,NB,0.8857142857142857,0.5740740740740741,0.6966292134831461
2,drop_coord-dim,58,RF,0.21428571428571427,0.5555555555555556,0.30927835051546393
2,drop_coord-dim,58,SVM,0.34285714285714286,0.34285714285714286,0.34285714285714286
2,drop_coord-dim,58,DNN,0.7857142857142857,0.6111111111111112,0.6875
2,drop_coord-dim,58,DT,0.24285714285714285,0.4857142857142857,0.3238095238095238
2,drop_algo-dim,58,NB,0.9142857142857143,0.5871559633027523,0.7150837988826816
2,drop_algo-dim,58,RF,0.2571428571428571,0.6206896551724138,0.36363636363636365
2,drop_algo-dim,58,SVM,0.34285714285714286,0.34285714285714286,0.34285714285714286
2,drop_algo-dim,58,DNN,0.8142857142857143,0.5816326530612245,0.6785714285714286
2,drop_algo-dim,58,DT,0.18571428571428572,0.52,0.2736842105263158
2,drop_composite,58,NB,0.9,0.5779816513761468,0.7039106145251397
2,drop_composite,58,RF,0.21428571428571427,0.5555555555555556,0.30927835051546393
2,drop_composite,58,SVM,0.0,0.0,0.0
2,drop_composite,58,DNN,0.8142857142857143,0.6129032258064516,0.6993865030674846
2,drop_composite,58,DT,0.2,0.42424242424242425,0.27184466019417475
2,drop_engagement,55,NB,0.2857142857142857,0.46511627906976744,0.35398230088495575
2,drop_engagement,55,RF,0.2857142857142857,0.5,0.36363636363636365
2,drop_engagement,55,SVM,0.35714285714285715,0.35714285714285715,0.35714285714285715
2,drop_engagement,55,DNN,0.7571428571428571,0.6022727272727273,0.6708860759493671
2,drop_engagement,55,DT,0.17142857142857143,0.35294117647058826,0.23076923076923078
2,drop_temporal,59,NB,0.9142857142857143,0.5517241379310345,0.6881720430107527
2,drop_temporal,59,RF,0.18571428571428572,0.4482758620689655,0.26262626262626265
2,drop_temporal,59,SVM,0.8142857142857143,0.5876288659793815,0.6826347305389222
2,drop_temporal,59,DNN,0.7571428571428571,0.5888888888888889,0.6625
2,drop_temporal,59,DT,0.15714285714285714,0.44,0.23157894736842105
2,drop_coord_all,40,NB,0.17142857142857143,0.41379310344827586,0.24242424242424243
2,drop_coord_all,40,RF,0.8285714285714286,0.5742574257425742,0.6783625730994152
2,drop_coord_all,40,SVM,0.9,0.5625,0.6923076923076923
2,drop_coord_all,40,DNN,0.8428571428571429,0.5462962962962963,0.6629213483146067
2,drop_coord_all,40,DT,0.8,0.5714285714285714,0.6666666666666666
2,full,62,NB,0.9,0.5675675675675675,0.6961325966850829
2,full,62,RF,0.21428571428571427,0.5769230769230769,0.3125
2,full,62,SVM,0.34285714285714286,0.34285714285714286,0.34285714285714286
2,full,62,DNN,0.7571428571428571,0.6309523809523809,0.6883116883116883
2,full,62,DT,0.17142857142857143,0.42857142857142855,0.24489795918367346
3,drop_coord-dim,58,NB,0.926829268292683,0.5846153846153846,0.7169811320754716
3,drop_coord-dim,58,RF,0.12195121951219512,0.35714285714285715,0.18181818181818182
3,drop_coord-dim,58,SVM,0.12195121951219512,0.15151515151515152,0.13513513513513514
3,drop_coord-dim,58,DNN,0.8536585365853658,0.6363636363636364,0.7291666666666666
3,drop_coord-dim,58,DT,0.0975609756097561,0.3076923076923077,0.14814814814814814
3,drop_algo-dim,58,NB,0.926829268292683,0.5588235294117647,0.6972477064220184
3,drop_algo-dim,58,RF,0.1951219512195122,0.4444444444444444,0.2711864406779661
3,drop_algo-dim,58,SVM,0.24390243902439024,0.3125,0.273972602739726
3,drop_algo-dim,58,DNN,0.8292682926829268,0.6296296296296297,0.7157894736842105
3,drop_algo-dim,58,DT,0.21951219512195122,0.45,0.29508196721311475
3,drop_composite,58,NB,0.926829268292683,0.5588235294117647,0.6972477064220184
3,drop_composite,58,RF,0.14634146341463414,0.3333333333333333,0.2033898305084746
3,drop_composite,58,SVM,0.17073170731707318,0.2,0.18421052631578946
3,drop_composite,58,DNN,0.8292682926829268,0.6415094339622641,0.723404255319149
3,drop_composite,58,DT,0.0975609756097561,0.2857142857142857,0.14545454545454545
3,drop_engagement,55,NB,0.2682926829268293,0.39285714285714285,0.3188405797101449
3,drop_engagement,55,RF,0.14634146341463414,0.3333333333333333,0.2033898305084746
3,drop_engagement,55,SVM,0.21951219512195122,0.23684210526315788,0.22784810126582278
