f1,precision,recall,accuracy,auc,experiment,classifier,fold,tn,fp,fn,tp
0.5801063022019742,0.9138755980861244,0.42491657397107896,0.8606350806451613,0.7656410892084939,B1b_tiktok_full_cv,SVM,4,,,,
0.5310307609282245,0.5157232704402516,0.5472747497219133,0.7809979838709677,0.7045895823569942,B1b_tiktok_full_cv,DT,4,,,,
0.6070381231671554,0.8903225806451613,0.46051167964404893,0.8649193548387096,0.8019291918068336,B1b_tiktok_full_cv,DNN,4,,,,
0.6097087378640776,0.4414245548266167,0.9853556485355649,0.4478021978021978,0.5272068744633585,B2_pantip_sockpuppet_cv,NB,0,,,,
0.5005512679162073,0.5291375291375291,0.47489539748953974,0.5851648351648352,0.6089211971706212,B2_pantip_sockpuppet_cv,RF,0,,,,
0.16179001721170397,0.4563106796116505,0.09832635983263599,0.5540293040293041,0.538549602714895,B2_pantip_sockpuppet_cv,SVM,0,,,,
0.46041666666666664,0.45850622406639,0.46234309623430964,0.5256410256410257,0.5183565480490099,B2_pantip_sockpuppet_cv,DT,0,,,,
0.22690437601296595,0.5035971223021583,0.14644351464435146,0.5631868131868132,0.56981110217655,B2_pantip_sockpuppet_cv,DNN,0,,,,
0.5702005730659025,0.4335511982570806,0.8326359832635983,0.45054945054945056,0.5249955705777329,B2_pantip_sockpuppet_cv,NB,1,,,,
0.4672036823935558,0.5191815856777494,0.4246861924686193,0.576007326007326,0.5851420140923773,B2_pantip_sockpuppet_cv,RF,1,,,,
0.17667844522968199,0.5681818181818182,0.10460251046025104,0.5732600732600732,0.5331286713096097,B2_pantip_sockpuppet_cv,SVM,1,,,,
0.4678111587982833,0.4801762114537445,0.4560669456066946,0.5457875457875457,0.537098115110463,B2_pantip_sockpuppet_cv,DT,1,,,,
0.266025641025641,0.5684931506849316,0.17364016736401675,0.5805860805860806,0.5579811374756382,B2_pantip_sockpuppet_cv,DNN,1,,,,
0.6058252427184466,0.4386129334582943,0.9790794979079498,0.44179651695692024,0.5217361627772052,B2_pantip_sockpuppet_cv,NB,2,,,,
0.4899328859060403,0.5264423076923077,0.4581589958158996,0.5820348304307974,0.5882756455322954,B2_pantip_sockpuppet_cv,RF,2,,,,
0.2071307300509338,0.5495495495495496,0.12761506276150628,0.5719523373052245,0.5512193956602757,B2_pantip_sockpuppet_cv,SVM,2,,,,
0.4968421052631579,0.5,0.49372384937238495,0.5618698441796517,0.5546441466960623,B2_pantip_sockpuppet_cv,DT,2,,,,
0.3072378138847858,0.5226130653266332,0.2175732217573222,0.5701191567369386,0.5553011118922645,B2_pantip_sockpuppet_cv,DNN,2,,,,
0.6066104990278678,0.4394366197183099,0.9790794979079498,0.44362969752520626,0.5360272887984874,B2_pantip_sockpuppet_cv,NB,3,,,,
0.5347826086956522,0.5565610859728507,0.5146443514644351,0.6076993583868011,0.6402168497068399,B2_pantip_sockpuppet_cv,RF,3,,,,
0.17594254937163376,0.620253164556962,0.10251046025104603,0.5792850595783685,0.5974833966977687,B2_pantip_sockpuppet_cv,SVM,3,,,,
0.5010183299389002,0.4880952380952381,0.5146443514644351,0.5508707607699358,0.547535271352222,B2_pantip_sockpuppet_cv,DT,3,,,,
0.31309904153354634,0.6621621621621622,0.20502092050209206,0.6058661778185152,0.6087524828165207,B2_pantip_sockpuppet_cv,DNN,3,,,,
0.6121134020618557,0.44227188081936686,0.9937238493723849,0.44821264894592117,0.5387763042038947,B2_pantip_sockpuppet_cv,NB,4,,,,
0.4861751152073733,0.541025641025641,0.44142259414225943,0.5912007332722273,0.607967537387292,B2_pantip_sockpuppet_cv,RF,4,,,,
0.14963503649635038,0.5857142857142857,0.08577405857740586,0.5728689275893676,0.5934409277372412,B2_pantip_sockpuppet_cv,SVM,4,,,,
0.48541666666666666,0.483402489626556,0.4874476987447699,0.5472043996333639,0.5416515934392214,B2_pantip_sockpuppet_cv,DT,4,,,,
0.31347962382445144,0.625,0.20920502092050208,0.5985334555453712,0.6020411993966158,B2_pantip_sockpuppet_cv,DNN,4,,,,
0.0,0.0,0.0,0.56166391790361,0.5076593457414807,B3_zero_shot_behavioral,NB,-1,3065.0,2.0,2390.0,0.0
0.0,0.0,0.0,0.56166391790361,0.5139338592903537,B3_zero_shot_behavioral,RF,-1,3065.0,2.0,2390.0,0.0
