source,post_id,user_id,container_id,amp_prob_full,amp_prob_behavioral,is_sockpuppet,n_chars,n_words,n_emoji,n_punct,emoji_density,punct_density,is_short,is_long,is_emoji_heavy,max_token_repeat_ratio,has_repeated_chars,hour_of_day,day_of_week,is_late_night
tiktok,7069535612373926657,tiktok_7017561499707638785,7039505802012429594,0.2,0.2,,15,3,0,0,0.0,0.0,0,0,0,0.0,0,23,6,0
tiktok,7069434745465242370,tiktok_6809163257959269382,7039505802012429594,0.2,0.2,,37,7,3,0,0.42857142857142855,0.0,0,0,0,0.0,0,16,6,0
tiktok,7071639949799736066,tiktok_6811988176238052353,7039505802012429594,0.1,0.1,,50,10,0,0,0.0,0.0,0,0,0,0.1,0,15,5,0
tiktok,7072541223235863298,tiktok_6806919731272418305,7039505802012429594,0.9,0.2,,15,2,0,0,0.0,0.0,0,0,0,0.0,0,1,1,1
tiktok,7069533977350472450,tiktok_6944477737801679873,7039505802012429594,0.2,0.2,,8,1,0,5,0.0,0.625,0,0,0,0.0,1,23,6,0
tiktok,7071653226030105345,tiktok_7050483401505768450,7039505802012429594,0.1,0.1,,75,12,0,0,0.0,0.0,0,0,0,0.08333333333333333,0,16,5,0
tiktok,7069314157027918593,tiktok_7051500747774772250,7039505802012429594,0.9,0.2,,7,2,3,0,1.0,0.0,0,0,0,0.0,0,9,6,0
tiktok,7069366121484436226,tiktok_7060046748470756379,7039505802012429594,0.1,0.1,,90,13,0,2,0.0,0.022222222222222223,0,0,0,0.07692307692307693,0,12,6,0
tiktok,7071600909159596802,tiktok_6888294603406443521,7039505802012429594,0.67,0.67,,23,4,4,0,1.0,0.0,0,0,1,0.0,0,13,5,0
tiktok,7071294912960168705,tiktok_7060807299925197826,7039505802012429594,0.2,0.2,,12,3,0,0,0.0,0.0,0,0,0,0.0,0,17,4,0
tiktok,7079200625036673794,tiktok_6810600749980075010,7039505802012429594,0.1,0.1,,54,10,0,0,0.0,0.0,0,0,0,0.0,0,0,5,1
tiktok,7069595828813546242,tiktok_7005917735511147521,7039505802012429594,0.67,0.67,,20,4,4,0,1.0,0.0,0,0,1,0.0,0,3,0,1
tiktok,7069384343990829826,tiktok_6956073609312191490,7039505802012429594,0.9,0.2,,10,2,1,0,0.5,0.0,0,0,0,0.0,0,13,6,0
tiktok,7064734984137097986,tiktok_7052986114022720539,7039505802012429594,0.2,0.2,,4,1,0,1,0.0,0.25,1,0,0,0.0,0,1,1,1
tiktok,7071105252033184514,tiktok_7043771411362743298,7039505802012429594,0.15,0.15,,46,4,0,11,0.0,0.2391304347826087,0,0,0,0.0,1,4,4,1
tiktok,7064769792963904258,tiktok_6694589095430325250,7039505802012429594,1.0,1.0,,13,1,6,0,1.0,0.0,0,0,1,0.0,0,3,1,1
tiktok,7063668552087143170,tiktok_7051880571618051099,7039505802012429594,0.1,0.1,,62,9,3,0,0.3333333333333333,0.0,0,0,0,0.0,0,4,5,1
tiktok,7071782534233047809,tiktok_7048566524349924378,7039505802012429594,0.2,0.2,,24,4,0,0,0.0,0.0,0,0,0,0.0,0,0,6,1
tiktok,7069556770112602881,tiktok_7027446951412237313,7039505802012429594,0.15,0.15,,33,8,0,0,0.0,0.0,0,0,0,0.25,0,0,0,1
tiktok,7063983023322153730,tiktok_6791335726472643586,7039505802012429594,0.15,0.15,,39,6,1,2,0.16666666666666666,0.05128205128205128,0,0,0,0.0,0,0,6,1
tiktok,7069783836762768130,tiktok_7064736001772913665,7039505802012429594,0.1,0.1,,65,14,2,0,0.14285714285714285,0.0,0,0,0,0.07142857142857142,0,15,0,0
tiktok,7069703136633520902,tiktok_6878994440560821249,7039505802012429594,0.1,0.1,,137,22,0,0,0.0,0.0,0,0,0,0.045454545454545456,0,10,0,0
tiktok,7071884930061714177,tiktok_6679059563817239554,7039505802012429594,0.9,0.2,,12,2,0,0,0.0,0.0,0,0,0,0.0,0,7,6,0
tiktok,7072691314743116546,tiktok_6883118167053304833,7039505802012429594,0.2,0.2,,14,3,0,0,0.0,0.0,0,0,0,0.0,0,11,1,0
