user_id,source,is_sockpuppet,amp_prob,comment_count,video_count,videos_per_comment,avg_time_between_comments,std_time_between_comments,min_time_between_comments,emoji_score_mean,emoji_score_max,emoji_score_std,emoji_score_sum,length_score_mean,length_score_max,length_score_std,length_score_sum,repetition_score_mean,repetition_score_max,repetition_score_std,repetition_score_sum,punctuation_score_mean,punctuation_score_max,punctuation_score_std,punctuation_score_sum
tiktok_6818348049799332866,tiktok,,0.15,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.1388888888888889,0.0,0.1388888888888889
tiktok_6818384439727653889,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818397640104821762,tiktok,,0.15,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
tiktok_6818434766544552962,tiktok,,0.1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.04065040650406505,0.04065040650406505,0.0,0.04065040650406505
tiktok_6818460898429912066,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
tiktok_6818470463955796993,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
tiktok_6818470781707633666,tiktok,,0.15,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
tiktok_6818481647999648769,tiktok,,0.67,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818533841503618050,tiktok,,0.2,2,2,1.0,999003.0,0.0,999003.0,0.5227272727272727,0.5454545454545454,0.022727272727272707,1.0454545454545454,0.0,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.03125,0.0625,0.03125,0.0625
tiktok_6818534836828587010,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818607613106816001,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818625256057553921,tiktok,,0.1,1,1,1.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20270270270270271,0.20270270270270271,0.0,0.20270270270270271
tiktok_6818711024796599298,tiktok,,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.13513513513513514,0.13513513513513514,0.0,0.13513513513513514
tiktok_6818717848165286913,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.29411764705882354,0.0,0.29411764705882354
tiktok_6818727254220030977,tiktok,,0.1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06493506493506494,0.06493506493506494,0.0,0.06493506493506494
tiktok_6818741028973282306,tiktok,,0.1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818747233509901313,tiktok,,0.8,1,1,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3488372093023256,0.3488372093023256,0.0,0.3488372093023256
tiktok_6818751114738992130,tiktok,,0.8,1,1,1.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.042735042735042736,0.042735042735042736,0.0,0.042735042735042736
tiktok_6818765006902412289,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.2247191011235955,0.2247191011235955,0.0,0.2247191011235955
tiktok_6818766426909787138,tiktok,,0.15,1,1,1.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.13157894736842105,0.0,0.13157894736842105
tiktok_6818769384749024257,tiktok,,0.1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818808966904251393,tiktok,,1.0,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
tiktok_6818813535536448514,tiktok,,0.1,1,1,1.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.056179775280898875,0.056179775280898875,0.0,0.056179775280898875
tiktok_6818816432382575618,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818821320501117954,tiktok,,1.0,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818841343881315330,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiktok_6818844999028245505,tiktok,,0.1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333
tiktok_6818854940573434881,tiktok,,0.8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.23255813953488372,0.0,0.23255813953488372
tiktok_6818865703862830081,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43859649122807015,0.43859649122807015,0.0,0.43859649122807015
tiktok_6818883389966484482,tiktok,,0.15,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.875,0.0,0.0,0.0,0.0
tiktok_6818885455527576577,tiktok,,0.15,1,1,1.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.2702702702702703,0.0,0.2702702702702703
tiktok_6818938297420678145,tiktok,,0.1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3731343283582089,0.3731343283582089,0.0,0.3731343283582089
tiktok_6818942506337321990,tiktok,,0.2,1,1,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
